sample_id,vigs
stirling_wwtp_03_20,6
stirling_wwtp_03_20,6
stirling_wwtp_03_20,6
stirling_wwtp_03_20,6
stirling_wwtp_03_20,6
stirling_wwtp_03_20,6
stirling_wwtp_03_20,6
stirling_wwtp_03_20,6
stirling_wwtp_03_20,6
stirling_wwtp_03_20,6
stirling_wwtp_03_20,12
stirling_wwtp_03_20,12
stirling_wwtp_03_20,5
stirling_wwtp_03_20,18
stirling_wwtp_03_20,5
stirling_wwtp_03_20,18
stirling_wwtp_03_20,5
stirling_wwtp_03_20,18
stirling_wwtp_03_20,12
stirling_wwtp_03_20,12
stirling_wwtp_03_20,12
stirling_wwtp_03_20,6
stirling_wwtp_03_20,17
stirling_wwtp_03_20,12
stirling_wwtp_03_20,6
stirling_wwtp_03_20,5
stirling_wwtp_03_20,5
stirling_wwtp_03_20,17
stirling_wwtp_03_20,12
stirling_wwtp_03_20,17
stirling_wwtp_03_20,6
stirling_wwtp_03_20,6
stirling_wwtp_03_20,17
stirling_wwtp_03_20,17
stirling_wwtp_03_20,6
stirling_wwtp_03_20,6
stirling_wwtp_03_20,6
stirling_wwtp_03_20,6
stirling_wwtp_03_20,17
stirling_wwtp_03_20,17
stirling_wwtp_03_20,17
stirling_wwtp_03_20,6
stirling_wwtp_03_20,12
stirling_wwtp_03_20,12
stirling_wwtp_03_20,6
stirling_wwtp_03_20,17
stirling_wwtp_03_20,11
stirling_wwtp_03_20,6
stirling_wwtp_03_20,17
stirling_wwtp_03_20,17
stirling_wwtp_03_20,17
stirling_wwtp_03_20,17
stirling_wwtp_03_20,6
stirling_wwtp_03_20,11
stirling_wwtp_03_20,6
stirling_wwtp_03_20,11
stirling_wwtp_03_20,14
stirling_wwtp_03_20,14
stirling_wwtp_03_20,18
stirling_wwtp_03_20,14
stirling_wwtp_03_20,14
stirling_wwtp_03_20,18
stirling_wwtp_03_20,14
stirling_wwtp_03_20,14
stirling_wwtp_03_20,14
stirling_wwtp_03_20,14
stirling_wwtp_03_20,14
stirling_wwtp_03_20,14
stirling_wwtp_03_20,14
stirling_wwtp_03_20,14
stirling_wwtp_03_20,14
stirling_wwtp_03_20,11
stirling_wwtp_03_20,6
stirling_wwtp_03_20,11
stirling_wwtp_03_20,14
stirling_wwtp_03_20,11
stirling_wwtp_03_20,11
stirling_wwtp_03_20,11
stirling_wwtp_03_20,6
stirling_wwtp_03_20,6
stirling_wwtp_03_20,6
stirling_wwtp_03_20,11
stirling_wwtp_03_20,6
stirling_wwtp_03_20,6
stirling_wwtp_03_20,6
stirling_wwtp_03_20,6
stirling_wwtp_03_20,3
stirling_wwtp_03_20,3
stirling_wwtp_03_20,6
stirling_wwtp_03_20,6
